STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10147,1,0,1,15,21,3,2010,1,13,10,1,33.59496944,-85.85558611,0,2,0,13,17,0,0,0,1,0
1,10148,1,0,2,3,23,3,2010,3,2,30,0,30.61531111,-87.66617778,0,1,0,2,55,0,0,0,1,1
1,10149,1,0,1,35,23,3,2010,3,9,8,1,31.28849444,-87.18938889,0,1,0,9,25,0,0,0,1,0
1,10150,1,0,1,39,26,3,2010,6,18,0,1,31.38073333,-86.63540556,0,1,0,88,88,0,0,0,1,0
1,10151,3,0,4,125,14,3,2010,1,3,10,0,33.16298056,-87.62550556,1,2,0,3,30,0,0,0,1,2
1,10152,2,0,3,109,15,3,2010,2,8,45,0,31.6475,-85.94887778,2,1,0,9,5,0,0,0,1,1
1,10153,2,0,5,29,15,3,2010,2,12,1,1,33.65087778,-85.419475,0,1,0,12,13,14,0,0,1,0
1,10154,3,0,8,113,17,3,2010,4,18,12,1,32.49165,-85.02736667,6,2,0,18,21,0,0,0,1,0
1,10155,2,0,3,59,18,3,2010,5,7,45,0,34.50513889,-87.69294167,6,1,0,8,15,0,0,0,1,0
1,10156,2,0,2,97,23,3,2010,3,13,5,0,30.51655833,-88.17014444,6,1,0,13,10,0,0,0,1,0
1,10157,1,1,1,23,28,3,2010,1,0,20,0,32.16983056,-88.29301389,0,1,0,0,40,0,0,0,1,0
1,10158,2,0,2,131,29,3,2010,2,8,0,0,31.88664167,-87.09350556,11,1,0,8,20,14,0,0,1,0
1,10159,1,0,2,37,29,3,2010,2,23,30,1,32.77772222,-86.23073333,0,1,0,0,5,0,0,0,1,1
1,10160,1,0,2,117,30,3,2010,3,23,15,0,33.14306389,-86.53433333,0,1,0,23,30,0,0,0,1,0
1,10161,2,0,2,15,31,3,2010,4,7,35,0,33.84519722,-85.66683333,1,1,0,7,50,0,0,0,1,0
1,10162,1,0,1,7,31,3,2010,4,12,45,0,33.06022778,-87.03201667,0,1,0,13,50,0,0,0,1,1
1,10163,2,0,2,119,1,4,2010,5,18,0,1,32.45319722,-88.15328889,2,1,0,18,15,0,0,0,1,0
1,10164,1,0,1,81,5,4,2010,2,23,6,0,32.60312222,-85.34076667,0,1,0,23,12,20,0,0,1,0
1,10165,2,0,2,127,6,4,2010,3,12,55,1,33.68271944,-87.24535,7,1,0,13,12,0,0,0,1,0
1,10166,2,0,4,97,7,4,2010,4,7,9,1,31.03080833,-88.02403889,6,1,0,7,21,0,0,0,4,0
