STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,WEATHER,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD
1,77,3,23,4,30,1,1,0,0,0,1,5,15,0,0,0,0,1,5,1,10165,2006,34.96901111,-87.264675
1,103,3,23,15,30,2,2,0,1,5,1,15,40,0,0,0,0,1,5,0,10166,2006,34.61956111,-87.04203889
1,53,3,22,6,55,2,2,0,0,5,1,7,14,0,0,0,0,2,4,0,10167,2006,31.18791111,-87.05275833
1,101,3,21,14,0,1,2,1,1,0,1,14,4,0,0,0,0,1,3,0,10168,2006,32.32344722,-86.33588056
1,51,3,24,9,21,2,3,0,1,5,1,9,29,0,0,0,0,1,6,0,10169,2006,32.52720278,-86.20620278
1,127,3,24,15,20,1,1,0,0,0,1,15,30,0,0,0,0,1,6,0,10170,2006,33.54745,-87.25521389
1,117,3,25,13,30,2,4,0,0,5,1,13,37,0,0,0,0,1,7,0,10171,2006,33.15539444,-86.530975
1,31,2,15,9,35,2,3,0,0,2,1,9,55,0,0,0,0,3,4,0,10172,2006,31.23125833,-86.131625
1,101,3,24,13,13,3,6,0,1,5,1,13,18,0,0,0,0,1,6,0,10173,2006,32.35635833,-86.32136389
1,21,3,25,17,52,2,3,0,0,0,1,17,59,0,0,0,0,1,7,0,10174,2006,32.95195833,-86.83153611
1,89,2,15,0,45,1,1,0,0,0,1,1,7,0,0,0,0,1,4,0,10175,2006,34.85212222,-86.51476389
1,125,2,25,16,0,2,3,0,1,1,2,16,10,0,0,0,0,1,7,0,10176,2006,33.27219167,-87.10515278
1,51,2,26,18,15,2,5,0,0,4,1,18,25,0,0,0,0,1,1,0,10177,2006,32.54116944,-86.31224444
1,101,2,26,19,23,1,4,0,0,0,1,19,32,0,0,0,0,1,1,1,10178,2006,32.35134444,-86.38054722
1,73,3,26,6,31,1,2,1,0,0,1,6,37,0,0,0,0,1,1,1,10179,2006,33.63619722,-86.70275278
1,113,3,25,19,30,3,5,0,1,2,1,20,0,0,0,0,0,1,7,1,10180,2006,32.13901944,-85.18014722
1,115,3,28,8,7,1,2,0,0,0,1,8,15,0,0,0,0,1,3,1,10182,2006,33.49008611,-86.36616389
1,81,2,26,3,30,1,1,0,0,0,2,4,4,0,0,0,0,1,1,1,10183,2006,32.72345833,-85.16780833
1,67,2,27,15,0,1,2,0,0,0,1,15,16,0,0,0,0,1,2,0,10184,2006,31.6271,-85.09940556
1,55,3,28,8,25,2,2,0,0,5,1,8,28,0,0,0,0,1,3,0,10185,2006,34.026525,-86.02430556
1,101,3,29,13,45,1,1,0,1,0,1,14,16,0,0,0,0,1,4,0,10186,2006,32.17910278,-86.11746944
1,31,3,30,2,10,1,2,0,0,0,1,2,47,0,0,0,0,1,5,1,10187,2006,31.23880556,-85.98213056
1,133,2,27,6,0,1,1,0,0,0,1,6,20,0,0,0,0,1,2,1,10188,2006,34.198175,-87.43816111
1,73,1,8,20,24,2,2,0,0,2,1,20,29,0,0,0,0,1,1,0,10189,2006,33.45759444,-86.96099444
1,97,2,6,17,14,1,1,0,1,0,2,17,20,0,0,0,0,1,2,1,10190,2006,30.62654722,-88.11908889
1,97,1,29,7,15,2,3,0,1,5,1,7,17,0,0,0,0,2,1,1,10191,2006,30.71542222,-88.13331944
1,73,2,16,23,0,2,3,0,0,5,1,23,7,0,0,0,0,1,5,0,10192,2006,33.37420278,-86.99081389
1,127,2,27,6,50,3,3,0,0,1,1,7,7,0,0,0,0,1,2,0,10193,2006,33.91465833,-87.3843
1,131,3,26,4,0,1,1,0,0,0,1,4,45,0,0,0,0,1,1,1,10194,2006,31.89943333,-87.58634167
1,117,3,27,14,15,1,2,0,1,0,1,14,25,0,0,0,0,1,2,0,10195,2006,33.35569444,-86.65045
1,107,3,28,6,15,2,2,0,0,2,1,7,10,0,0,0,0,1,3,0,10196,2006,33.41854444,-88.15983333
1,97,2,27,20,15,2,6,0,1,2,1,20,32,0,0,0,0,1,2,0,10197,2006,30.76935556,-88.23494444
1,53,3,4,19,55,1,1,0,0,0,1,19,57,0,0,0,0,1,7,1,10198,2006,31.02738333,-87.479675
1,9,2,28,18,5,2,4,2,0,4,1,18,12,0,0,0,0,1,3,2,10199,2006,33.93045556,-86.49775556
1,73,2,17,15,50,5,8,0,1,1,1,15,58,0,0,0,0,1,6,0,10200,2006,33.60316389,-86.64956667
1,7,3,18,10,50,1,2,0,0,0,1,11,9,0,0,0,0,1,7,0,10201,2006,32.91189722,-87.27841389
1,73,2,17,22,2,1,2,1,0,0,1,22,8,0,0,0,0,1,6,0,10202,2006,33.51395556,-86.83129167
1,73,2,22,20,35,2,6,0,0,5,2,20,40,0,0,0,0,2,4,0,10203,2006,33.451775,-86.92389167
1,73,2,24,23,47,1,2,0,0,0,1,23,52,0,0,0,0,1,6,0,10204,2006,33.49163889,-87.21574167
1,89,3,18,12,55,2,2,0,0,4,1,13,0,0,0,0,0,1,7,1,10205,2006,34.97729444,-86.69471389
1,123,3,2,13,56,2,2,0,1,5,1,14,1,0,0,0,0,1,5,0,10206,2006,32.90684167,-85.92756667
1,117,3,8,19,47,1,1,0,1,0,1,19,53,0,0,0,0,1,4,0,10207,2006,33.36800833,-86.77677222
1,97,3,9,19,50,2,6,1,0,0,1,20,2,0,0,0,0,1,5,1,10208,2006,30.68751944,-88.12877778
1,89,3,19,14,25,2,2,0,0,5,1,14,34,0,0,0,0,1,1,0,10209,2006,34.88075833,-86.62689722
1,49,3,31,19,0,2,4,0,0,5,2,19,6,0,0,0,0,2,6,2,10210,2006,34.56896389,-85.794225
1,3,3,10,6,13,2,3,0,0,0,2,6,20,0,5,0,0,1,6,0,10211,2006,30.39042222,-87.648725
1,89,3,19,6,20,1,1,0,0,0,1,6,28,0,0,0,0,1,1,0,10212,2006,34.88264167,-86.59821111
1,79,3,15,20,17,1,1,0,0,0,1,20,44,0,0,0,0,1,4,1,10213,2006,34.47386111,-87.2492
1,53,3,17,23,42,1,1,0,0,0,1,23,46,0,0,0,0,1,6,1,10214,2006,31.11187222,-87.06479167
1,79,3,28,13,50,2,1,0,1,1,1,99,99,0,0,0,0,1,3,0,10215,2006,34.68143056,-87.40977778
1,103,3,31,1,15,1,1,0,0,0,1,99,99,0,0,0,0,1,6,0,10216,2006,34.61962778,-86.994625
