STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,TRAF_FLO,SP_LIMIT,SUR_COND,HIT_RUN,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD,VE_FORMS,WEATHER
1,97,1,26,4,30,1,3,1,0,0,1,35,2,0,4,36,0,0,0,0,1,7,1,10157,2008,30.6849,-88.058,1,2
1,53,4,4,22,15,1,2,0,0,0,1,55,2,0,22,30,0,0,0,0,1,6,0,10158,2008,31.1014,-86.9464,1,1
1,73,1,8,2,40,1,1,0,1,0,3,45,1,0,2,46,0,0,0,0,1,3,0,10159,2008,33.5614,-86.8279,1,1
1,73,1,10,6,12,2,2,0,1,5,1,40,2,0,6,22,0,0,0,0,1,5,0,10160,2008,33.5264,-86.8503,2,1
1,73,1,9,6,25,1,1,0,0,0,1,35,1,0,6,33,0,0,0,0,1,4,0,10161,2008,33.4888,-86.7932,1,1
1,73,3,24,18,10,1,1,0,0,0,1,55,1,0,18,20,0,0,0,0,1,2,0,10162,2008,33.3669,-86.8847,1,1
1,73,3,30,2,31,1,3,0,1,0,2,70,1,0,2,36,0,0,0,0,1,1,0,10163,2008,33.3837,-86.9896,1,1
1,73,3,31,19,25,1,3,0,0,0,1,30,1,0,99,99,0,0,0,0,1,2,0,10164,2008,33.3916,-87.0135,1,1
1,55,3,27,22,45,1,3,0,0,0,1,35,1,0,22,55,0,0,0,0,1,5,1,10165,2008,34.0122,-85.7682,1,1
1,65,4,8,13,15,1,1,0,0,0,1,45,1,0,16,2,0,0,0,0,1,3,0,10166,2008,32.8663,-87.4472,1,1
1,55,3,13,19,30,2,3,0,1,5,2,65,1,0,19,39,0,0,0,0,1,5,0,10167,2008,34.0506,-86.1117,2,1
1,55,4,6,1,30,1,1,0,0,0,1,45,1,0,1,52,0,0,0,0,1,1,1,10168,2008,34.0695,-85.7951,1,1
1,15,4,5,5,10,1,1,0,0,0,1,55,2,0,5,25,0,0,0,0,1,7,0,10169,2008,33.8565,-85.9038,1,2
1,73,3,21,10,55,2,5,0,1,5,3,70,1,0,11,10,0,0,0,0,4,6,0,10170,2008,33.3973,-86.7793,2,1
1,85,4,12,4,0,2,4,0,0,5,1,45,2,0,4,23,0,0,0,0,1,7,1,10171,2008,32.1857,-86.6866,2,1
1,51,4,12,4,48,1,1,0,0,0,1,55,2,0,4,57,0,0,0,0,1,7,0,10172,2008,32.5655,-86.1699,1,1
1,91,3,22,19,5,1,3,0,0,0,1,45,1,0,19,32,0,0,0,0,1,7,1,10173,2008,32.1263,-87.7144,1,1
1,121,4,9,4,0,1,1,0,0,0,1,45,1,0,0,0,0,0,0,0,1,4,1,10174,2008,33.4375,-86.2274,1,1
1,65,4,5,5,31,2,4,0,0,8,1,55,2,0,5,45,0,0,0,0,1,7,0,10175,2008,32.7305,-87.662,2,2
1,81,3,25,17,1,3,8,0,1,4,2,70,1,0,17,14,0,0,0,0,2,3,0,10176,2008,32.6132,-85.409,3,1
