VEH_NO,PER_NO,AGE,SEX,REST_USE,ST_CASE,BODY_TYP
1,2,26,1,3,10346,4
2,1,47,1,3,10346,66
1,1,49,2,3,10347,4
1,2,45,2,0,10347,4
1,1,20,1,0,10348,30
2,1,56,2,3,10348,14
3,1,86,1,3,10348,4
1,1,24,1,3,10349,4
2,1,41,2,3,10349,4
1,1,23,2,0,10350,4
1,2,3,2,0,10350,4
1,3,25,1,0,10350,4
2,1,29,1,3,10350,20
2,2,24,2,3,10350,20
2,3,23,2,0,10350,20
1,1,15,1,0,10351,14
1,2,13,1,0,10351,14
1,1,19,2,3,10352,4
1,2,17,1,0,10352,4
2,1,46,1,0,10352,4
2,2,5,1,0,10352,4
2,3,2,2,0,10352,4
1,1,20,1,3,10353,4
1,2,99,9,3,10353,4
1,3,99,9,3,10353,4
1,4,12,1,0,10353,4
1,5,99,9,3,10353,4
1,1,48,1,0,10354,4
1,1,22,1,0,10355,14
1,2,26,1,0,10355,14
1,3,99,9,0,10355,14
2,1,26,2,3,10355,3
2,2,29,1,0,10355,3
1,1,18,2,0,10356,2
1,2,16,2,0,10356,2
2,1,47,2,3,10356,4
0,1,51,1,0,10357,
1,1,24,1,3,10357,2
1,1,37,1,3,10358,63
2,1,42,1,0,10358,4
1,1,21,1,99,10359,4
1,1,25,1,0,10360,2
1,2,23,2,3,10360,2
1,3,18,2,0,10360,2
1,1,24,2,0,10361,4
1,1,18,1,0,10362,4
1,2,21,1,0,10362,4
1,3,19,1,0,10362,4
2,1,48,1,3,10362,30
3,1,26,1,3,10362,31
1,1,19,1,5,10363,80
1,1,77,1,3,10364,21
1,2,21,1,0,10364,21
1,3,44,1,0,10364,21
1,4,40,1,0,10364,21
1,5,61,2,0,10364,21
1,1,54,2,0,10365,2
1,1,39,1,0,10366,80
0,1,21,1,0,10367,
1,1,37,2,3,10367,4
1,1,23,1,0,10368,31
1,2,26,1,0,10368,31
1,1,23,2,3,10369,4
1,2,99,9,3,10369,4
1,3,99,9,3,10369,4
1,4,99,9,0,10369,4
1,5,99,9,3,10369,4
2,1,33,1,5,10369,80
1,1,20,1,0,10370,30
1,1,80,1,0,10371,4
2,1,26,1,3,10371,2
1,1,22,1,5,10372,80
1,1,69,1,0,10373,30
1,1,17,1,1,10374,2
1,2,17,1,1,10374,2
1,1,20,1,0,10375,14
1,1,51,1,3,10376,21
2,1,59,1,3,10376,66
1,1,24,1,0,10377,31
1,2,22,1,0,10377,31
1,1,22,2,3,10378,4
1,2,20,1,3,10378,4
1,3,6,2,0,10378,4
1,4,4,1,0,10378,4
2,1,40,2,3,10378,20
1,1,37,1,5,10379,80
1,1,39,1,0,10380,30
2,1,36,2,3,10380,20
2,2,9,2,3,10380,20
2,3,38,2,3,10380,20
2,4,13,2,0,10380,20
2,5,17,2,0,10380,20
1,1,21,1,0,10381,2
1,2,20,1,0,10381,2
2,1,22,1,3,10381,31
2,2,22,2,3,10381,31
2,3,2,2,4,10381,31
1,1,36,1,3,10382,31
2,1,33,2,0,10382,2
1,1,39,1,3,10383,20
1,2,99,9,99,10383,20
2,1,42,2,0,10383,30
2,2,15,1,0,10383,30
1,1,30,1,3,10384,4
1,1,39,1,0,10385,2
2,1,57,1,3,10385,66
